0    01100100011000110110001001100001	--var1: .ASCII "abcd"
1    00000000000000000000000000000000	--var1: .ASCII "abcd"
2    00000000000000000000000001100001	--var8: .CHAR 'a', 'b'
3    00000000000000000000000001100010	--var8: .CHAR 'a', 'b'
4    00000000000000000000000000000001	--vector: .INT 1, 2, 3
5    00000000000000000000000000000010	--vector: .INT 1, 2, 3
6    00000000000000000000000000000011	--vector: .INT 1, 2, 3
7    00000000000100000000000000000001	--var2: .WORD 0b100000000000000000001
8    00000000000100000000000000000001	--var3: .WORD 0b100000000000000000001
16    00000000000100000000000000000001	--var4: .WORD 0b100000000000000000001
17    00000000000100000000000000000001	--var5: .WORD 0b100000000000000000001
